2015-01-06 14:35:05,918 [main] INFO  org.jacademie.projet1.Main - Welcome to MUSIC App !!!!!!!!!!!!!! 

2015-01-06 14:35:09,550 [main] INFO  org.jacademie.projet1.dao.ArtisteDao - Deleting all Artistes...
2015-01-06 14:35:10,094 [main] INFO  org.jacademie.projet1.dao.ArtisteDao - Artistes deleted : 0

2015-01-06 14:35:10,105 [main] INFO  org.jacademie.projet1.utils.FileUtils - In findFileInRepoWithGoodExtension ....
2015-01-06 14:35:10,176 [main] INFO  org.jacademie.projet1.utils.FileUtils - File found : /Users/rbo/Java-Acad-MidProject/music/fichier1.music
2015-01-06 14:35:10,177 [main] INFO  org.jacademie.projet1.utils.FileUtils - File found : /Users/rbo/Java-Acad-MidProject/music/fichier3.music
2015-01-06 14:35:10,178 [main] INFO  org.jacademie.projet1.utils.FileUtils - Bye findFileInRepoWithGoodExtension 

2015-01-06 14:35:10,179 [main] INFO  org.jacademie.projet1.utils.FileUtils - In isGoodFile function ......
2015-01-06 14:35:10,194 [main] INFO  org.jacademie.projet1.utils.FileUtils - Files to be treated : [/Users/rbo/Java-Acad-MidProject/music/fichier1.music, /Users/rbo/Java-Acad-MidProject/music/fichier3.music]
2015-01-06 14:35:10,195 [main] INFO  org.jacademie.projet1.utils.FileUtils - Goodbye from isGoodFile function ! 

2015-01-06 14:35:10,692 [main] INFO  org.jacademie.projet1.dao.ArtisteDao - Finding Artiste with id : 1...
2015-01-06 14:35:10,731 [main] INFO  org.jacademie.projet1.dao.ArtisteDao - Artiste not found
2015-01-06 14:35:10,741 [main] INFO  org.jacademie.projet1.dao.ArtisteDao - Creating artiste : Artiste [idArtiste=1, nom=2Pac, albums=[Album [idAlbum=1, nom=Me Against the World, chansons=[Chanson [idChanson=1, titre=Ambitionz az a Ridah, dureeChanson=4]]]]]...
2015-01-06 14:35:10,971 [main] INFO  org.jacademie.projet1.dao.ArtisteDao - Artiste created. 

2015-01-06 14:35:11,497 [main] INFO  org.jacademie.projet1.dao.ArtisteDao - Finding Artiste with id : 1...
